a43 73.00214503943485[nm]
b43 61.98639701823849[nm]
c43 67.49427102883666[nm]
x43 167.63389296070724[nm]
y43 494.587036289755[nm]
z43 1186.244309260881[nm]
theta43 -120.60640703150949[degrees]
volume43 1279344.5850028044[nm^3]
a44 96.61228568764217[nm]
b44 64.75614963943572[nm]
c44 80.68421766353894[nm]
x44 1379.6184791265061[nm]
y44 530.427889875481[nm]
z44 1186.244309260881[nm]
theta44 -40.91438322002513[degrees]
volume44 2114416.6817354583[nm^3]
a45 134.24883765289[nm]
b45 101.9140956308055[nm]
c45 118.08146664184775[nm]
x45 366.5439418325423[nm]
y45 630.0818108426363[nm]
z45 1186.244309260881[nm]
theta45 -100.82846666818186[degrees]
volume45 6767295.444320896[nm^3]
a46 168.10025108893845[nm]
b46 86.4690532667062[nm]
c46 127.28465217782232[nm]
x46 1596.4917825537295[nm]
y46 967.5272957131365[nm]
z46 1186.244309260881[nm]
theta46 -58.234413576138266[degrees]
volume46 7749857.474108808[nm^3]
*****************
total_particles 46
total_volume 477280130.2332557[nm^3]
cube_length 1765.592033642668[nm]
volume_fraction 0.08671660619589011
