z43 964.6329339923324[nm]
theta43 -147.9946167919165[degrees]
a44 100.56228479109764[nm]
b44 44.428833154199005[nm]
c44 72.49555897264833[nm]
x44 1231.8214334514882[nm]
y44 1219.2929999276603[nm]
z44 964.6329339923324[nm]
theta44 -24.986433204779875[degrees]
a45 178.62191202086638[nm]
b45 86.53808502481392[nm]
c45 132.57999852284016[nm]
x45 1562.5046065853287[nm]
y45 1172.1929311641024[nm]
z45 964.6329339923324[nm]
theta45 -41.78676775828062[degrees]
*****************
total_particles 45
total_volume_ellipsoids 449701012.6878739[nm^3]
x_length_prism 1817.9594305919986[nm]
y_length_prism 1454.548913701378[nm]
z_length_prism 1152.7294981158175[nm]
x_position_prism -52.63010653047917[nm]
y_position_prism -175.2688086714466[nm]
volume_fraction 0.1475312224834697
