y51 889.6486333318803[nm]
z51 894.0293519550385[nm]
theta51 -23.008870082822874[degrees]
a52 65.79245781757825[nm]
b52 34.61806193640469[nm]
c52 100[nm]
x52 815.4137448836901[nm]
y52 967.3525839278971[nm]
z52 899.2808541151225[nm]
theta52 -145.13425128739567[degrees]
a53 85.85097101315534[nm]
b53 49.56542288474494[nm]
c53 100[nm]
x53 496.4116174512939[nm]
y53 1133.0045796669485[nm]
z53 891.4998585591413[nm]
theta53 -90.88594659385424[degrees]
a54 92.58895814054318[nm]
b54 38.4752260324396[nm]
c54 100[nm]
x54 1129.8063730534404[nm]
y54 1160.727515949784[nm]
z54 927.8456447999861[nm]
theta54 -149.88152970314056[degrees]
a55 137.38343542419705[nm]
b55 62.95796051354688[nm]
c55 104.27973562879151[nm]
x55 1482.261022084031[nm]
y55 232.74899053139555[nm]
z55 860.767161763738[nm]
theta55 -87.87234276751322[degrees]
a56 77.60411068457965[nm]
b56 20.024262830061524[nm]
c56 100[nm]
x56 1633.1200951744868[nm]
y56 285.67895308064783[nm]
z56 791.7676647960229[nm]
theta56 -135.9240453527727[degrees]
a57 143.49323408986047[nm]
b57 81.84910107205081[nm]
c57 117.2929789505951[nm]
x57 1471.3678960807881[nm]
y57 459.93789484039576[nm]
z57 868.772546516915[nm]
theta57 -21.54928447119382[degrees]
a58 79.30729349086249[nm]
b58 37.87000612527365[nm]
c58 100[nm]
x58 1659.4207368958475[nm]
y58 445.764550714772[nm]
z58 794.0764773517212[nm]
theta58 -83.27148790623133[degrees]
a59 90.31425162236573[nm]
b59 48.06438570744717[nm]
c59 100[nm]
x59 1082.094851442995[nm]
y59 278.74357570781257[nm]
z59 927.5351320560881[nm]
theta59 -84.03166780248307[degrees]
a60 203.72403360026772[nm]
b60 126.01943382890359[nm]
c60 178.67535268441964[nm]
x60 965.6452621735604[nm]
y60 481.7212358416369[nm]
z60 862.125255321927[nm]
theta60 -3.5620086397006583[degrees]
*****************
total_particles 60
total_volume_ellipsoids 353695839.634434[nm^3]
x_length_prism 1801.7971601415672[nm]
y_length_prism 1431.6365843542537[nm]
z_length_prism 1049.6552232241636[nm]
x_position_prism -36.46783608004786[nm]
y_position_prism -80.82174116928499[nm]
volume_fraction 0.1306305015223187
number_particles_within_10nm_of_electrode 4
average_particle_electrode_distance 2.789617728628137[nm]
