x46 10839.381899477581[nm]
y46 4752.794541810978[nm]
z46 495.9086026900592[nm]
theta46 -64.30300027266756[degrees]
a47 256.7485505166739[nm]
b47 232.3546756522813[nm]
c47 244.5516130844776[nm]
x47 14806.89671779806[nm]
y47 4675.945770221783[nm]
z47 519.9239257712483[nm]
theta47 -48.01278750418334[degrees]
a48 321.4275308614855[nm]
b48 225.70777774003847[nm]
c48 273.567654300762[nm]
x48 9764.751637060888[nm]
y48 5057.794580514453[nm]
z48 668.1736981412746[nm]
theta48 -85.91438322002513[degrees]
a49 240.48830537440253[nm]
b49 193.90665337222197[nm]
c49 250[nm]
x49 12624.107807203683[nm]
y49 5058.4231267396035[nm]
z49 393.06088804859587[nm]
theta49 -144.03948280335513[degrees]
a50 236.6719999683587[nm]
b50 149.6358456787226[nm]
c50 250[nm]
x50 3949.8396494873305[nm]
y50 5179.186051763856[nm]
z50 333.5912263339121[nm]
theta50 -127.79394299861673[degrees]
a51 250[nm]
b51 250[nm]
c51 250.0[nm]
x51 8547.363529178894[nm]
y51 5635.582243947779[nm]
z51 598.4637640090285[nm]
theta51 0[degrees]
a52 250[nm]
b52 250[nm]
c52 250.0[nm]
x52 7890.874979560574[nm]
y52 5906.574610359993[nm]
z52 417.95238876829944[nm]
theta52 0[degrees]
a53 343.02340223956213[nm]
b53 278.3120683073915[nm]
c53 310.6677352734768[nm]
x53 6113.541320942582[nm]
y53 5656.488549618321[nm]
z53 536.1670471836887[nm]
theta53 -42.74542503406497[degrees]
a54 250[nm]
b54 250[nm]
c54 250.0[nm]
x54 9337.35044233066[nm]
y54 5494.493914401926[nm]
z54 630.1968714833746[nm]
theta54 0[degrees]
a55 250[nm]
b55 250[nm]
c55 250.0[nm]
x55 9644.602350727608[nm]
y55 5954.417578524063[nm]
z55 307.35170214767817[nm]
theta55 0[degrees]
a56 250[nm]
b56 250[nm]
c56 250.0[nm]
x56 9214.459824193675[nm]
y56 6241.774204133869[nm]
z56 278.53414335709084[nm]
theta56 0[degrees]
a57 250[nm]
b57 250[nm]
c57 250.0[nm]
x57 8784.317297659742[nm]
y57 6529.130829743674[nm]
z57 324.30193685713783[nm]
theta57 0[degrees]
a58 250[nm]
b58 250[nm]
c58 250.0[nm]
x58 9951.854259124553[nm]
y58 6414.341242646201[nm]
z58 509.0621959666787[nm]
theta58 0[degrees]
a59 250[nm]
b59 250[nm]
c59 250.0[nm]
x59 9521.71173259062[nm]
y59 6701.697868256007[nm]
z59 459.95817769253586[nm]
theta59 0[degrees]
a60 250[nm]
b60 250[nm]
c60 250.0[nm]
x60 10259.1061675215[nm]
y60 6874.264906768338[nm]
z60 402.83746344325374[nm]
theta60 0[degrees]
a61 250[nm]
b61 250[nm]
c61 250.0[nm]
x61 9828.963640987567[nm]
y61 7161.6215323781435[nm]
z61 542.2693526036534[nm]
theta61 0[degrees]
a62 263.1374221853921[nm]
b62 220.51689810159223[nm]
c62 241.82716014349216[nm]
x62 10326.864997265226[nm]
y62 5613.398016694015[nm]
z62 425.6731138596956[nm]
theta62 -23.962488974578182[degrees]
a63 268.29101940137366[nm]
b63 238.48090613455432[nm]
c63 253.38596276796397[nm]
x63 2619.7960100070563[nm]
y63 5695.447644706738[nm]
z63 569.1621056327768[nm]
theta63 -39.8055710922652[degrees]
a64 609.8395837678878[nm]
b64 213.53588901831094[nm]
c64 411.6877363930994[nm]
x64 12071.653184459383[nm]
y64 5993.414606357526[nm]
z64 417.10586920582494[nm]
theta64 -118.81079374297306[degrees]
a65 505.9087957073233[nm]
b65 294.78401701755155[nm]
c65 400.3464063624374[nm]
x65 3686.4367037490556[nm]
y65 6069.7313915014465[nm]
z65 443.35299965559216[nm]
theta65 -131.02326902492243[degrees]
a66 481.718100088544[nm]
b66 337.43566572977625[nm]
c66 409.57688290916013[nm]
x66 2369.673042565685[nm]
y66 6419.947277020527[nm]
z66 501.218735406501[nm]
