a47 250[nm]
b47 250[nm]
c47 250.0[nm]
x47 4347.047231563274[nm]
y47 6448.845739587956[nm]
z47 1312.2291502781534[nm]
theta47 0[degrees]
a48 250[nm]
b48 250[nm]
c48 250.0[nm]
x48 4827.353718330731[nm]
y48 6701.814585286826[nm]
z48 1710.2291502781534[nm]
theta48 0[degrees]
a49 250[nm]
b49 250[nm]
c49 250.0[nm]
x49 4644.947494030465[nm]
y49 5883.228941687694[nm]
z49 1389.2291502781534[nm]
theta49 0[degrees]
a50 250[nm]
b50 250[nm]
c50 250.0[nm]
x50 5125.253980797922[nm]
y50 6136.1977873865635[nm]
z50 1411.2291502781534[nm]
theta50 0[degrees]
a51 196.41953520180468[nm]
b51 196.41953520180468[nm]
c51 250.0[nm]
x51 4942.8477564976565[nm]
y51 5317.612143787432[nm]
z51 1548.2291502781534[nm]
theta51 0[degrees]
a52 250[nm]
b52 250[nm]
c52 250.0[nm]
x52 5423.154243265113[nm]
y52 5570.580989486301[nm]
z52 1348.2291502781534[nm]
theta52 0[degrees]
a53 336.93634718178464[nm]
b53 302.0547259589145[nm]
c53 319.4955365703496[nm]
x53 7615.155363644061[nm]
y53 4928.414190161713[nm]
z53 1519.724686848503[nm]
theta53 -16.635119157787372[degrees]
a54 251.53442139032074[nm]
b54 208.00406349175412[nm]
c54 264.48385599544633[nm]
x54 2567.8348550846035[nm]
y54 4919.008627910874[nm]
z54 1260.7130062735996[nm]
theta54 -135.55090397921856[degrees]
a55 294.4226340603261[nm]
b55 153.54839134169492[nm]
c55 328.1576511804187[nm]
x55 4587.065254164207[nm]
y55 5187.626451916763[nm]
z55 1594.386801458572[nm]
theta55 -57.10767025676035[degrees]
a56 250.99319241181115[nm]
b56 209.6426328575363[nm]
c56 265.1154218523078[nm]
x56 2960.9111361079867[nm]
y56 5216.500281214848[nm]
z56 1675.344572130461[nm]
theta56 -174.13402885827347[degrees]
a57 104.40496540296157[nm]
b57 66.81323916723284[nm]
c57 250[nm]
x57 83.0608567996797[nm]
y57 5152.0085413052175[nm]
z57 1445.2291502781534[nm]
theta57 -134.23610153907[degrees]
a58 198.03775760674245[nm]
b58 67.3907195615106[nm]
c58 250[nm]
x58 78.83677117047486[nm]
y58 5696.512245785228[nm]
z58 1307.2291502781534[nm]
theta58 -96.27729848959754[degrees]
a59 341.6474549092484[nm]
b59 271.0895091644897[nm]
c59 306.36848203686907[nm]
x59 515.5346066170795[nm]
y59 5842.369833528594[nm]
z59 1462.5976323150226[nm]
theta59 -120.85052391365481[degrees]
a60 338.38233406194246[nm]
b60 282.8213393218764[nm]
c60 310.6018366919094[nm]
x60 7406.0754607409435[nm]
y60 5882.000785693545[nm]
z60 1425.830986970063[nm]
theta60 -24.030174447537455[degrees]
a61 302.3028666592682[nm]
b61 221.62369421158417[nm]
c61 295.5412358609406[nm]
x61 2361.9676006082414[nm]
